"OPERATEUR";"CODE_EIC";"ANNEE";"FILIERE";"IRIS_CODE";"IRIS_LIBELLE";"ADRESSE";"NOM_COMMUNE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"RTE";"RTE 10XFR-RTE";"2020";"E";"831370101";"Bon Rencontre-Arsenal";"CHEMIN DE BELLO VISTO";"TOULON";"I";109008.354;1
"RTE";"RTE 10XFR-RTE";"2020";"E";"831370612";"La Rode";"PORT MILITAIRE DE TOULON - QUAI VAUBAN";"TOULON";"I";45797.938;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630901";"Saint-Augustin 1";"RUE DE LA PELOUSE DE DOUET";"BORDEAUX";"T";38101.91567;1
"Enedis";"17X100A100A0001A";"2020";"E";"452342103";"Universités";"AVENUE DE L HOPITAL";"ORLÉANS";"T";30863.15683;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381001";"Pontchaillou";"2 RUE HENRI LE GUILLOUX";"RENNES";"T";29535.96109;2
"Enedis";"17X100A100A0001A";"2020";"E";"452342104";"Activités";"5 AVENUE DE CONCYR";"ORLÉANS";"I";22037.944;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"RUE DU DOCTEUR GABRIEL PERY";"BORDEAUX";"T";19672.89296;4
"Enedis";"17X100A100A0001A";"2020";"E";"45234XXXX";"Iris fictif de la commune Orléans";"RUE DES FOUGERES";"ORLÉANS";"I";18291.82383;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630103";"Le Lac 3";"111 BOULEVARD ALFRED DANEY";"BORDEAUX";"I";17876.448;1
"Enedis";"17X100A100A0001A";"2020";"E";"831370902";"Sainte-Musse I";"54 AVENUE SAINTE CLAIRE DEVILLE";"TOULON";"T";17154.02033;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380306";"Stade Rennais";"RUE DE LORIENT";"RENNES";"I";16261.04867;2
"Enedis";"17X100A100A0001A";"2020";"E";"352380605";"Campus de Beaulieu";;"RENNES";"T";16037.18867;4
